time,oxygen,replicate,live,dead
0,21%,a,39500,4930
0,21%,b,41900,0
0,21%,c,61800,0
0,0.5%,a,22200,2470
0,0.5%,b,41900,2470
0,0.5%,c,29600,14800
24,21%,a,76500,0
24,21%,b,54300,0
24,21%,c,83900,2470
24,0.5%,a,25600,0
24,0.5%,b,24700,0
24,0.5%,c,24700,2470
48,21%,a,148000,4930
48,21%,b,141000,9870
48,21%,c,178000,14800
48,0.5%,a,44400,2470
48,0.5%,b,64100,4870
48,0.5%,c,39500,12300
72,21%,a,244000,12300
72,21%,b,281000,14800
72,21%,c,234000,23200
72,0.5%,a,116000,2470
72,0.5%,b,78900,0
72,0.5%,c,64100,4930
